ID,Image Src,Image Command,Image Position
9848782618913,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/etceteraspring20242JK2798conversation01.jpg?v=1738176108,MERGE,1
9848782029089,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/etceteraspring20242PT2800conversation01.jpg?v=1738176126,MERGE,1
9855068078369,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/IMG_0303.jpg?v=1739289450,MERGE,1
9848781865249,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/etceteraspring20242DR2802conversation01.jpg?v=1738176118,MERGE,1
9873107845409,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/21_80ffa2f6-ade1-4595-87df-9ab787e5b1d1.jpg?v=1740784192,MERGE,1
9873106960673,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/71.jpg?v=1739920020,MERGE,1
9873107452193,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/70.jpg?v=1739920028,MERGE,1
9873104109857,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/86.jpg?v=1739920017,MERGE,1
9873102176545,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/20_0ad933ae-b57b-41ff-abf0-3bd58a1bcb4a.jpg?v=1739920006,MERGE,1
9911183868193,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/N25KD50119-0002_10.jpg?v=1742631336,MERGE,1
9917205053729,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190076306---ss25---earmanimain---ew000831af10206ub115.jpg?v=1744237148,MERGE,1
9917244375329,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190075740---ss25---earmanimain---ew000831af10206u8011.jpg?v=1744231330,MERGE,1
9917254238497,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190068271---ss25---harriswharflondon---a2220pxepx02.jpg?v=1744234869,MERGE,1
9917262725409,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190068305---ss25---paroshpre---d420409panty25003.jpg?v=1744219274,MERGE,1
9917290447137,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190071168---ss25---goldengoose---gwp02069p00187055550.jpg?v=1744224979,MERGE,1
9917523427617,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190056550---ss25---normakamalipre---kk4246plf32001.jpg?v=1744254432,MERGE,1
9917717578017,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190058591---ss25---fortefortepre---13561myjacket3088.jpg?v=1744218863,MERGE,1
9921866924321,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190078334---ss25---earmanicapsulemain---ew001421te12255o8002.jpg?v=1744239487,MERGE,1
9921877311777,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190079401---ss25---earmanimain---ew000632af12364uc001.jpg?v=1744228818,MERGE,1
9921877508385,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190079386---ss25---earmanimain---ew000632af12364u0006.jpg?v=1744229891,MERGE,1
9930026582305,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190074058---ss25---earmanicapsulemain---ew000669af12367u8012.jpg?v=1744231208,MERGE,1
9931231658273,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190075563---ss25---earmanimain---ew001538te14039uc001.jpg?v=1744233007,MERGE,1
9931234705697,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190081887---ss25---earmanimain---ew000835af12516uc001.jpg?v=1744245487,MERGE,1
9950044717345,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190052173---ss25---normakamalimain---kk4266pl107012.jpg?v=1744308667,MERGE,1
9950042849569,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190052158---ss25---normakamalimain---kk1263pl015001.jpg?v=1744308613,MERGE,1
9980160868641,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190091063---ss25---scervinomain---d465n709apqbj11001.jpg?v=1746583986,MERGE,1
9984094503201,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190080738---ss25---circolo1901---fd33821018.jpg?v=1747062428,MERGE,1
9984093651233,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190080784---ss25---circolo1901---cn4717678.jpg?v=1747062253,MERGE,1
9984089882913,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190080781---ss25---circolo1901---cn47281088t.jpg?v=1747061421,MERGE,1
9984093192481,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190080731---ss25---circolo1901---fd3517sky.jpg?v=1747062195,MERGE,1
9984093618465,https://cdn.shopify.com/s/files/1/0906/3789/3921/files/190080775---ss25---circolo1901---cn4717ottico.jpg?v=1747062253,MERGE,1
